level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	8	1	2	17	624	682	27	8	96	sem
5	1	8	1	2	18	657	680	54	14	93	pretium,
5	1	8	1	2	19	717	679	49	11	92	sodales
5	1	8	1	2	20	771	679	20	11	96	elit
5	1	8	1	2	21	795	680	31	14	96	eget,
5	1	8	1	2	22	832	679	55	11	87	faucibus
5	1	8	1	2	23	892	679	37	15	95	ligula.
4	1	8	1	3	0	28	699	710	15	-1	
5	1	8	1	3	1	28	700	33	10	94	Nunc
5	1	8	1	3	2	66	700	12	10	96	et
5	1	8	1	3	3	82	699	28	11	95	odio
5	1	8	1	3	4	115	699	11	11	74	Id
5	1	8	1	3	5	131	702	40	8	90	massa
